注文番号,販売日,店舗,商品コード,商品名,カテゴリ,カラー,サイズ,定価,販売価格,数量,売上金額,値引額,値引率,販売チャネル
ORD-202609-00048,2026/09/01,EC,JK-003,QUILTED JACKET,JACKET,BLACK,XL,5000,5000,3,15000,0,0.0,オンライン
ORD-202609-00170,2026/09/01,EC,OT-001,WOOL COAT,OUTER,KHAKI,XL,6200,4650,1,4650,1550,0.25,オンライン
ORD-202609-00175,2026/09/01,EC,AC-003,LEATHER BELT,ACCESSORY,NAVY,M,1000,1000,1,1000,0,0.0,オンライン
ORD-202609-00184,2026/09/01,表参道店,OT-003,MOD COAT,OUTER,NAVY,L,5200,5200,2,10400,0,0.0,店舗
ORD-202609-00216,2026/09/01,大阪店,JK-001,TECH JACKET,JACKET,BEIGE,L,4500,3380,1,3380,1120,0.25,店舗
ORD-202609-00229,2026/09/01,EC,SH-001,LOW SNEAKER,SHOES,BLACK,L,2400,2400,1,2400,0,0.0,オンライン
ORD-202609-00356,2026/09/01,EC,SH-002,SUEDE BOOTS,SHOES,WHITE,L,2400,2400,1,2400,0,0.0,オンライン
ORD-202609-00367,2026/09/01,大阪店,OT-001,WOOL COAT,OUTER,GRAY,L,6200,6200,1,6200,0,0.0,店舗
ORD-202609-00390,2026/09/01,大阪店,SH-003,CHUKKA BOOTS,SHOES,KHAKI,M,3900,3900,2,7800,0,0.0,店舗
ORD-202609-00411,2026/09/01,大阪店,TP-003,BAND COLLAR SHIRT,TOPS,BLACK,M,1400,1400,1,1400,0,0.0,店舗
ORD-202609-00420,2026/09/01,表参道店,JK-002,SHELL JACKET,JACKET,NAVY,L,3000,3000,1,3000,0,0.0,店舗
ORD-202609-00478,2026/09/01,新宿店,PT-001,SLIM PANTS,PANTS,NAVY,M,1800,1620,1,1620,180,0.1,店舗
ORD-202609-00509,2026/09/01,大阪店,OT-001,WOOL COAT,OUTER,KHAKI,M,6200,6200,1,6200,0,0.0,店舗
ORD-202609-00537,2026/09/01,大阪店,JK-001,TECH JACKET,JACKET,WHITE,M,4500,4500,2,9000,0,0.0,店舗
ORD-202609-00596,2026/09/01,新宿店,BG-001,TOTE BAG,BAG,GRAY,M,1800,1800,1,1800,0,0.0,店舗
ORD-202609-00600,2026/09/01,表参道店,AC-002,SILK SCARF,ACCESSORY,BLACK,XL,1000,1000,1,1000,0,0.0,店舗
ORD-202609-00623,2026/09/01,EC,JK-002,SHELL JACKET,JACKET,BLACK,M,3000,3000,1,3000,0,0.0,オンライン
ORD-202609-00646,2026/09/01,大阪店,TP-004,DRY TEE,TOPS,WHITE,XL,1400,1260,1,1260,140,0.1,店舗
ORD-202609-00654,2026/09/01,表参道店,JK-003,QUILTED JACKET,JACKET,BLACK,L,5000,4500,1,4500,500,0.1,店舗
ORD-202609-00735,2026/09/01,新宿店,JK-001,TECH JACKET,JACKET,BLACK,XL,4500,4500,2,9000,0,0.0,店舗
ORD-202609-00738,2026/09/01,EC,TP-001,BASIC TEE,TOPS,WHITE,L,1400,1400,1,1400,0,0.0,オンライン
ORD-202609-00773,2026/09/01,EC,JK-003,QUILTED JACKET,JACKET,GRAY,XL,5000,5000,3,15000,0,0.0,オンライン
ORD-202609-00809,2026/09/01,表参道店,KN-001,WOOL KNIT,KNIT,BLACK,M,2500,2500,1,2500,0,0.0,店舗
ORD-202609-00822,2026/09/01,EC,KN-002,CABLE KNIT,KNIT,BLACK,M,2000,2000,1,2000,0,0.0,オンライン
ORD-202609-00948,2026/09/01,EC,KN-001,WOOL KNIT,KNIT,BEIGE,XL,2500,2500,1,2500,0,0.0,オンライン
ORD-202609-01008,2026/09/01,新宿店,SH-002,SUEDE BOOTS,SHOES,BEIGE,M,2400,2400,1,2400,0,0.0,店舗
ORD-202609-01019,2026/09/01,大阪店,AC-003,LEATHER BELT,ACCESSORY,GRAY,M,1000,850,1,850,150,0.15,店舗
ORD-202609-01032,2026/09/01,新宿店,PT-001,SLIM PANTS,PANTS,GRAY,M,1800,1800,1,1800,0,0.0,店舗
ORD-202609-01033,2026/09/01,新宿店,OT-005,BALMACAAN COAT,OUTER,NAVY,XL,6700,5020,1,5020,1680,0.25,店舗
ORD-202609-01059,2026/09/01,大阪店,BG-001,TOTE BAG,BAG,BEIGE,XL,1800,1800,2,3600,0,0.0,店舗
ORD-202609-01135,2026/09/01,EC,AC-002,SILK SCARF,ACCESSORY,BLACK,L,1000,1000,2,2000,0,0.0,オンライン
ORD-202609-01294,2026/09/01,表参道店,AC-003,LEATHER BELT,ACCESSORY,BLACK,L,1000,1000,2,2000,0,0.0,店舗
ORD-202609-01346,2026/09/01,表参道店,OT-003,MOD COAT,OUTER,BEIGE,XL,5200,5200,2,10400,0,0.0,店舗
ORD-202609-01428,2026/09/01,EC,AC-001,WOOL CAP,ACCESSORY,NAVY,M,500,500,1,500,0,0.0,オンライン
ORD-202609-01514,2026/09/01,EC,KN-003,CREW KNIT,KNIT,WHITE,M,2000,2000,1,2000,0,0.0,オンライン
ORD-202609-01551,2026/09/01,大阪店,JK-003,QUILTED JACKET,JACKET,BLACK,M,5000,5000,1,5000,0,0.0,店舗
ORD-202609-01557,2026/09/01,新宿店,PT-001,SLIM PANTS,PANTS,NAVY,S,1800,1800,3,5400,0,0.0,店舗
ORD-202609-01562,2026/09/01,EC,TP-002,OX SHIRT,TOPS,BEIGE,M,900,900,1,900,0,0.0,オンライン
ORD-202609-01601,2026/09/01,EC,JK-003,QUILTED JACKET,JACKET,NAVY,L,5000,5000,1,5000,0,0.0,オンライン
ORD-202609-01654,2026/09/01,EC,OT-001,WOOL COAT,OUTER,NAVY,L,6200,6200,1,6200,0,0.0,オンライン
ORD-202609-01888,2026/09/01,EC,SH-001,LOW SNEAKER,SHOES,WHITE,M,2400,1680,1,1680,720,0.3,オンライン
ORD-202609-01932,2026/09/01,表参道店,PT-001,SLIM PANTS,PANTS,NAVY,XL,1800,1800,1,1800,0,0.0,店舗
ORD-202609-01969,2026/09/01,EC,PT-003,TAPERED PANTS,PANTS,BEIGE,L,2800,2800,1,2800,0,0.0,オンライン
ORD-202609-02001,2026/09/01,大阪店,TP-002,OX SHIRT,TOPS,BEIGE,L,900,900,1,900,0,0.0,店舗
ORD-202609-02024,2026/09/01,表参道店,AC-001,WOOL CAP,ACCESSORY,BLACK,M,500,350,2,700,300,0.3,店舗
ORD-202609-02032,2026/09/01,表参道店,AC-002,SILK SCARF,ACCESSORY,NAVY,L,1000,1000,1,1000,0,0.0,店舗
ORD-202609-02035,2026/09/01,EC,AC-002,SILK SCARF,ACCESSORY,WHITE,L,1000,1000,1,1000,0,0.0,オンライン
ORD-202609-02038,2026/09/01,大阪店,BG-003,2WAY BAG,BAG,WHITE,S,1800,1800,3,5400,0,0.0,店舗
ORD-202609-02063,2026/09/01,表参道店,OT-001,WOOL COAT,OUTER,WHITE,L,6200,6200,1,6200,0,0.0,店舗
