number,ML_LogReg_L2,ML_LogReg_L1,ML_LogReg_ElasticNet,ML_RandomForest,ML_ExtraTrees,ML_GradientBoosting,ML_XGBoost,ML_LightGBM,exploratory_unvalidated_ensemble_mean
1,0.1649594216919756,0.1680300064608676,0.16825092744200076,0.16155839566700128,0.1619964192928293,0.16379542851120057,0.16029394,0.15245391956971724,0.16266730692062792
2,0.16304715060258596,0.16161616656983735,0.16191461403447735,0.16017835433161434,0.16039728776998266,0.15988589631351952,0.15443794,0.15247859831921998,0.1592445015292824
3,0.16598426758702303,0.16358718473197886,0.163399832866608,0.1627732038132965,0.16629381253596673,0.1622621975929037,0.15675184,0.1582282421842612,0.16241007282734055
4,0.16508148996022468,0.16764304022278154,0.16810759436417824,0.1610007692941764,0.16395847843965636,0.16313181267043417,0.13937938,0.14162148081272763,0.15874050598720785
5,0.1605412778926524,0.16194771743520012,0.16142061556983286,0.15964632881796,0.16126345157753585,0.16066211983065723,0.15708356,0.15910158513223596,0.16020833153901212
6,0.16084412289067226,0.158653493272435,0.15774332505114272,0.15686889014301308,0.15944391487567872,0.1602659937618835,0.16200462,0.15871198816032203,0.15931704349899434
7,0.15546193295304447,0.15492831741788965,0.1548934364828944,0.1597539013416517,0.159030247780398,0.15961394792653608,0.15865798,0.1584263188194512,0.15759576070841347
8,0.1625376309742788,0.15946683183599505,0.15922748312548402,0.14684175009592731,0.15677037319887255,0.14483223412464166,0.122665085,0.1329581678147037,0.14816244450854688
9,0.16438123019729528,0.1628430734724946,0.16273280792463143,0.15804171259351035,0.1602668993841245,0.15961394792653608,0.1501588,0.15275100265490996,0.15884868336095603
10,0.16089960495769667,0.1585609492653073,0.1589774435654734,0.16115216448610942,0.16151249163980017,0.15659591152355848,0.14818032,0.1447052847923291,0.15632302138615375
11,0.16178101466631722,0.16362823636544793,0.16412640994840585,0.16423466968655234,0.16274586878350708,0.16340858931198654,0.1405999,0.14014329239013948,0.15758349844961325
12,0.15998114162755578,0.16370587518894647,0.16347487826903476,0.16193385819756925,0.16175935540630335,0.16270441856711856,0.16315442,0.17997655764353446,0.16458631351711367
13,0.15506479316763458,0.15510729084444455,0.15516675030512905,0.15946943583834966,0.15906206455686078,0.16000876944202613,0.16469093,0.1549211142244029,0.15793639313123448
14,0.16223988010989435,0.1600311533586142,0.16078718185483815,0.16156250360748894,0.1620187961231985,0.16299378765338823,0.16805048,0.1706373686877685,0.16354014428304237
15,0.1621983696109526,0.15865880585536798,0.15828566662111293,0.16178187793916987,0.15966505449670956,0.15961394792653608,0.16126278,0.16306967956785273,0.1605670228057043
16,0.16086763552810718,0.15881180964150318,0.1588919251428413,0.160097474051396,0.16209121539114069,0.16199692927237858,0.15975423,0.15757238582272093,0.16001045080277987
17,0.16478270798857428,0.16452172014092645,0.16493111321088583,0.1613088235525225,0.1614754919959346,0.1633798366576491,0.16839331,0.16715137888290477,0.16449304828926659
18,0.15509226947024346,0.1569068534685526,0.15691634238868124,0.15812161920914658,0.1587198756521972,0.16066211983065723,0.14665513,0.14372351996416294,0.15459971592372018
19,0.1610350124654855,0.1589646060490114,0.15903729186389895,0.1609577307353546,0.16140346901104693,0.15686367762172204,0.1570548,0.16017044000534839,0.15943587807084827
20,0.1652174093384373,0.1663761427953601,0.16595964889466225,0.16545373928765506,0.16358924749234477,0.16292296456333122,0.16243452,0.15995080644473395,0.1639880596442218
21,0.15759133700994174,0.1614870677590154,0.16189169099673073,0.16204254220712333,0.16295061635459915,0.16340858931198654,0.15966065,0.15985675396934299,0.1611111562360742
22,0.16093158906408603,0.16013619580281113,0.1601174755700334,0.16222570910479622,0.16189432738184098,0.16299378765338823,0.16486481,0.15792814716283113,0.16138650500759827
23,0.16187320438621897,0.15924767226058786,0.15973514100158637,0.16015309162011412,0.16104834006797125,0.15988589631351952,0.15667029,0.15625412090293567,0.15935846922555075
24,0.1578498113930251,0.15227321423187792,0.1517487653825962,0.15881724165848057,0.15871408044617907,0.15961394792653608,0.1800403,0.18354248829756237,0.16282498115358535
25,0.163316882750036,0.16423334517862387,0.16399113363910645,0.16337959231677066,0.16224074235265923,0.16204436636985814,0.16027881,0.16146457959388952,0.1626186817814704
26,0.16281426938597743,0.1611762479855405,0.16114499131305526,0.15748010077129673,0.1603908534704911,0.15961394792653608,0.14996265,0.15253598798421786,0.1581398809483083
27,0.16193256217168425,0.16215466557549382,0.16221264783459793,0.16337112860921155,0.16294820339559488,0.1637335787002,0.16718657,0.1675839786667591,0.1638904172626644
28,0.16040471582853627,0.16360342512049872,0.16316668149286206,0.1628552848024366,0.16166845409177738,0.16412103632084313,0.16531211,0.1623562199943794,0.1629359911286312
29,0.16559439951355273,0.16699755609160402,0.16672270954310023,0.17122089367533425,0.16676005584471504,0.17640916580347102,0.15349066,0.1626241109718836,0.1662274442523036
30,0.1612983841404214,0.161388568301771,0.16152331297850425,0.16144143315891604,0.16219520464312892,0.16199692927237858,0.16785893,0.16697395902164192,0.16308458999484543
31,0.1693088590772743,0.17174348578339646,0.1727337172888699,0.20791511018164258,0.17619445036005252,0.25011941218623684,0.1800157,0.186780729840057,0.18935143284910302
