number,k_draws_after,reappear_rate,n_obs
1,1,0.1715686274509804,204
1,2,0.16176470588235295,204
1,3,0.11330049261083744,203
1,4,0.14285714285714285,203
1,5,0.19801980198019803,202
1,6,0.14356435643564355,202
1,7,0.16336633663366337,202
1,8,0.11386138613861387,202
1,9,0.19801980198019803,202
1,10,0.16336633663366337,202
1,11,0.15346534653465346,202
1,12,0.14356435643564355,202
1,13,0.15346534653465346,202
1,14,0.15841584158415842,202
1,15,0.13861386138613863,202
1,16,0.15841584158415842,202
1,17,0.19402985074626866,201
1,18,0.16,200
1,19,0.14,200
1,20,0.16080402010050251,199
1,21,0.16080402010050251,199
1,22,0.1407035175879397,199
1,23,0.11557788944723618,199
1,24,0.1306532663316583,199
1,25,0.14646464646464646,198
1,26,0.16666666666666666,198
1,27,0.15656565656565657,198
1,28,0.16161616161616163,198
1,29,0.16243654822335024,197
1,30,0.15816326530612246,196
2,1,0.13025210084033614,238
2,2,0.15126050420168066,238
2,3,0.15126050420168066,238
2,4,0.1638655462184874,238
2,5,0.2184873949579832,238
2,6,0.13445378151260504,238
2,7,0.18907563025210083,238
2,8,0.13865546218487396,238
2,9,0.18067226890756302,238
2,10,0.18067226890756302,238
2,11,0.17721518987341772,237
2,12,0.1350210970464135,237
2,13,0.1940928270042194,237
2,14,0.21518987341772153,237
2,15,0.17721518987341772,237
2,16,0.1308016877637131,237
2,17,0.16033755274261605,237
2,18,0.17721518987341772,237
2,19,0.20675105485232068,237
2,20,0.18143459915611815,237
2,21,0.1729957805907173,237
2,22,0.16455696202531644,237
2,23,0.1518987341772152,237
2,24,0.1652542372881356,236
2,25,0.1483050847457627,236
2,26,0.16101694915254236,236
2,27,0.18220338983050846,236
2,28,0.1906779661016949,236
2,29,0.19491525423728814,236
2,30,0.1864406779661017,236
3,1,0.17796610169491525,236
3,2,0.15677966101694915,236
3,3,0.1652542372881356,236
3,4,0.17372881355932204,236
3,5,0.1652542372881356,236
3,6,0.1694915254237288,236
3,7,0.1694915254237288,236
3,8,0.16595744680851063,235
3,9,0.13191489361702127,235
3,10,0.1574468085106383,235
3,11,0.14042553191489363,235
3,12,0.1794871794871795,234
3,13,0.13675213675213677,234
3,14,0.15384615384615385,234
3,15,0.1630901287553648,233
3,16,0.18025751072961374,233
3,17,0.18454935622317598,233
3,18,0.1759656652360515,233
3,19,0.15450643776824036,233
3,20,0.1759656652360515,233
3,21,0.18454935622317598,233
3,22,0.1759656652360515,233
3,23,0.13733905579399142,233
3,24,0.1853448275862069,232
3,25,0.17672413793103448,232
3,26,0.17672413793103448,232
3,27,0.2025862068965517,232
3,28,0.18614718614718614,231
3,29,0.16883116883116883,231
3,30,0.18695652173913044,230
4,1,0.1894273127753304,227
4,2,0.11894273127753303,227
4,3,0.1504424778761062,226
4,4,0.19469026548672566,226
4,5,0.18584070796460178,226
4,6,0.13716814159292035,226
4,7,0.15486725663716813,226
4,8,0.12831858407079647,226
4,9,0.1688888888888889,225
4,10,0.17333333333333334,225
4,11,0.14666666666666667,225
4,12,0.19111111111111112,225
4,13,0.12444444444444444,225
4,14,0.15178571428571427,224
4,15,0.16964285714285715,224
4,16,0.17410714285714285,224
4,17,0.17410714285714285,224
4,18,0.14732142857142858,224
4,19,0.1875,224
4,20,0.18303571428571427,224
4,21,0.21875,224
4,22,0.12946428571428573,224
4,23,0.16517857142857142,224
4,24,0.19730941704035873,223
4,25,0.15695067264573992,223
4,26,0.16143497757847533,223
4,27,0.15765765765765766,222
4,28,0.16216216216216217,222
4,29,0.13963963963963963,222
4,30,0.1891891891891892,222
5,1,0.16591928251121077,223
5,2,0.16143497757847533,223
5,3,0.21524663677130046,223
5,4,0.14349775784753363,223
5,5,0.12556053811659193,223
5,6,0.1891891891891892,222
5,7,0.16216216216216217,222
5,8,0.16216216216216217,222
5,9,0.14864864864864866,222
5,10,0.12612612612612611,222
5,11,0.16216216216216217,222
5,12,0.18468468468468469,222
5,13,0.14864864864864866,222
5,14,0.12612612612612611,222
5,15,0.16666666666666666,222
5,16,0.18099547511312217,221
5,17,0.19004524886877827,221
5,18,0.167420814479638,221
5,19,0.19909502262443438,221
5,20,0.15384615384615385,221
5,21,0.16289592760180996,221
5,22,0.19004524886877827,221
5,23,0.18099547511312217,221
5,24,0.17194570135746606,221
5,25,0.1583710407239819,221
5,26,0.15384615384615385,221
5,27,0.16289592760180996,221
5,28,0.17647058823529413,221
5,29,0.12669683257918551,221
5,30,0.18099547511312217,221
6,1,0.15306122448979592,196
6,2,0.17346938775510204,196
6,3,0.1377551020408163,196
6,4,0.11224489795918367,196
6,5,0.1683673469387755,196
6,6,0.1683673469387755,196
6,7,0.18877551020408162,196
6,8,0.14871794871794872,195
6,9,0.15384615384615385,195
6,10,0.1282051282051282,195
6,11,0.13333333333333333,195
6,12,0.11282051282051282,195
