number,n_appearances,current_gap_since_last_seen,mean_gap,median_gap,max_gap,std_gap
1,204,2,6.901477832512315,5.0,45,6.956596457263641
2,239,0,5.890756302521009,5.0,27,4.635068945969288
3,237,0,5.944915254237288,4.0,28,5.201158564834087
4,228,0,6.0881057268722465,4.0,41,5.6949772620488615
5,223,5,6.247747747747748,4.0,36,5.834571505868235
6,196,7,7.097435897435897,5.0,52,7.634989872190726
7,216,20,6.32093023255814,5.0,38,5.569374652363434
8,202,1,6.965174129353234,5.0,37,6.485635186753038
9,209,0,6.725961538461538,5.0,32,5.890580733946025
10,232,10,6.021645021645021,4.0,30,5.708993351380923
11,266,1,5.286792452830189,4.0,32,4.620791312443204
12,205,15,6.799019607843137,4.0,32,6.310106973675119
13,217,20,6.3657407407407405,5.0,36,5.296796062279275
14,247,1,5.686991869918699,4.0,28,5.243229615877217
15,197,3,7.122448979591836,5.0,32,6.380399363936029
16,233,6,6.0,4.0,30,5.245687884282703
17,221,1,6.372727272727273,5.0,63,7.0522196259683065
18,223,21,6.18018018018018,4.5,33,5.325779895852497
19,245,1,5.709016393442623,4.0,33,5.054757604708083
20,235,2,5.987179487179487,4.0,48,5.46197482306394
21,242,18,5.742738589211618,4.0,36,5.713073669872509
22,240,5,5.820083682008368,4.0,24,5.040946812144699
23,235,3,5.944444444444445,4.0,33,6.012194793070129
24,224,13,6.2242152466367715,4.0,52,6.1121026882779494
25,221,2,6.368181818181818,4.5,32,5.632364783805399
26,203,3,6.900990099009901,5.0,30,5.962763912410879
27,241,6,5.758333333333334,4.0,41,5.935059439934495
28,223,11,6.238738738738738,4.0,32,5.800880193714798
29,225,2,6.232142857142857,5.0,31,5.423135200985059
30,239,5,5.869747899159663,4.0,34,5.73686376156852
31,252,0,5.577689243027889,4.0,34,4.898668434312177
