draw_no,strategy,max_match,n_3plus,n_4plus,n_5,cost,payout,profit
703,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
704,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
705,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
706,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
707,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
708,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
709,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
710,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
711,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
712,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
713,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
714,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
715,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
716,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
717,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
718,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
719,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
720,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
721,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
722,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
723,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
724,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
725,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
726,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
727,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
728,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
729,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
730,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
731,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
732,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
733,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
734,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
735,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
736,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
737,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
738,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
739,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
740,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
741,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
742,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
743,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
744,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
