sum,mean,range,std,odd_count,even_count,low_count,high_count,prime_count,consecutive_pair_count,max_consecutive_run,d12,d23,d34,d45,decade_spread,draw_no,date
66,13.2,24,9.516301802696255,4,1,2,3,2,0,1,2,14,3,5,3,1,1999-04-13
76,15.2,28,9.53729521405309,2,3,3,2,2,1,2,9,1,9,9,4,2,1999-04-27
73,14.6,29,10.725670142233538,1,4,3,2,0,0,1,7,2,14,6,4,3,1999-05-11
88,17.6,20,7.391887445030531,2,3,3,2,2,1,2,1,2,6,11,3,4,1999-05-25
78,15.6,17,6.6211781428987395,4,1,3,2,0,1,2,1,6,6,4,3,5,1999-06-08
82,16.4,27,9.520504188329523,2,3,2,3,3,0,1,9,5,8,5,3,6,1999-06-22
109,21.8,28,9.703607576566563,3,2,1,4,2,2,3,21,1,1,5,3,7,1999-07-06
129,25.8,8,2.85657137141714,1,4,0,5,0,1,2,2,1,3,2,2,8,1999-07-20
66,13.2,26,8.37615663654877,2,3,4,1,3,2,3,9,1,1,15,3,9,1999-08-03
101,20.2,22,7.138627319029899,3,2,1,4,2,0,1,11,2,2,7,4,10,1999-08-17
104,20.8,13,4.707440918375928,2,3,0,5,2,3,4,1,1,1,10,3,11,1999-08-31
62,12.4,14,4.963869458396342,4,1,3,2,3,0,1,4,4,3,3,2,12,1999-09-14
88,17.6,22,8.260750571225353,2,3,2,3,1,0,1,5,7,7,3,3,13,1999-09-28
102,20.4,27,9.562426470305537,2,3,1,4,2,0,1,19,3,2,3,2,14,1999-10-05
78,15.6,18,7.445804187594514,2,3,2,3,2,1,2,2,9,6,1,3,15,1999-10-12
99,19.8,25,9.21737489744233,1,4,1,4,1,1,2,18,4,2,1,2,16,1999-10-19
100,20.0,17,5.966573556070519,2,3,1,4,0,0,1,8,2,5,2,2,17,1999-10-26
79,15.8,24,8.471127433818948,3,2,2,3,1,0,1,13,2,7,2,3,18,1999-11-02
70,14.0,25,9.143303560529969,2,3,3,2,1,1,2,7,1,12,5,3,19,1999-11-09
111,22.2,16,5.30659966456864,1,4,1,4,0,0,1,6,2,3,5,3,20,1999-11-16
96,19.2,28,9.6,4,1,2,3,2,0,1,12,7,3,6,4,21,1999-11-23
94,18.8,26,11.356055653262711,0,5,2,3,0,0,1,2,20,2,2,3,22,1999-11-30
81,16.2,24,8.304215796810679,1,4,2,3,2,0,1,11,5,4,4,3,23,1999-12-07
99,19.8,16,6.337191807101944,1,4,2,3,1,0,1,2,5,7,2,2,24,1999-12-14
59,11.8,27,10.303397497913005,3,2,3,2,4,1,2,1,4,11,11,3,25,1999-12-21
53,10.6,8,3.2619012860600183,3,2,5,0,1,3,3,1,1,5,1,2,26,1999-12-28
98,19.6,21,6.887670143089026,2,3,1,4,1,1,2,6,4,1,10,3,27,2000-01-04
77,15.4,27,9.478396488858229,3,2,3,2,2,0,1,7,6,7,7,3,28,2000-01-11
95,19.0,22,8.318653737234168,3,2,2,3,2,0,1,3,5,9,5,4,29,2000-01-18
90,18.0,20,6.603029607687671,2,3,2,3,1,1,2,5,2,1,12,2,30,2000-01-25
107,21.4,14,4.63033476111609,1,4,1,4,0,1,2,6,1,3,4,2,31,2000-02-01
66,13.2,22,7.138627319029898,2,3,3,2,3,0,1,9,2,3,8,3,32,2000-02-08
52,10.4,28,10.170545708072897,2,3,4,1,2,2,2,1,5,1,21,2,33,2000-02-15
88,17.6,25,9.971960689854328,2,3,2,3,1,1,2,5,9,10,1,3,34,2000-02-22
89,17.8,16,6.523802572120037,1,4,2,3,1,1,2,1,7,6,2,2,35,2000-02-29
64,12.8,17,6.04648658313239,2,3,3,2,0,1,2,4,7,1,5,3,36,2000-03-07
70,14.0,25,9.186947262284681,2,3,3,2,2,1,2,1,3,6,15,3,37,2000-03-14
94,18.8,20,6.64529909033446,4,1,1,4,4,1,2,5,1,2,12,2,38,2000-03-21
81,16.2,29,10.684568311354464,3,2,3,2,0,0,1,8,6,11,4,4,39,2000-03-28
96,19.2,23,8.471127433818948,2,3,1,4,0,1,2,12,8,1,2,3,40,2000-04-04
93,18.6,16,5.4258639865002145,1,4,1,4,1,0,1,6,3,3,4,2,41,2000-04-11
81,16.2,29,11.08873302050329,3,2,2,3,4,0,1,3,14,5,7,4,42,2000-04-18
66,13.2,27,9.495261976375375,2,3,3,2,2,0,1,3,5,5,14,3,43,2000-04-25
95,19.0,22,7.720103626247513,3,2,1,4,1,0,1,13,2,5,2,3,44,2000-05-02
89,17.8,19,7.025667228100119,3,2,2,3,3,0,1,6,6,5,2,3,45,2000-05-09
83,16.6,24,9.112628599915613,1,4,2,3,2,1,2,8,12,1,3,3,46,2000-05-16
62,12.4,27,9.645724441429996,2,3,3,2,3,0,1,4,2,9,12,3,47,2000-05-23
66,13.2,29,9.641576634555161,4,1,4,1,4,0,1,7,2,2,18,3,48,2000-05-30
85,17.0,15,5.89915248150105,3,2,3,2,2,1,2,3,1,9,2,2,49,2000-06-06
33,6.6,6,2.1540659228538015,1,4,5,0,1,2,3,1,1,2,2,2,50,2000-06-13
74,14.8,26,9.173875952943773,4,1,3,2,3,1,2,2,8,1,15,3,51,2000-06-20
83,16.6,27,10.190191362285598,1,4,3,2,1,0,1,6,2,14,5,4,52,2000-06-27
63,12.6,13,4.498888751680798,3,2,4,1,2,2,3,9,1,1,2,2,53,2000-07-04
63,12.6,17,6.887670143089026,3,2,3,2,1,1,2,1,10,3,3,3,54,2000-07-11
74,14.8,27,9.239047569960878,2,3,3,2,2,1,2,6,1,7,13,3,55,2000-07-18
48,9.6,26,9.243376006633074,4,1,4,1,2,0,1,2,4,3,17,3,56,2000-07-25
103,20.6,26,9.243376006633074,5,0,1,4,3,0,1,18,2,4,2,2,57,2000-08-01
41,8.2,23,8.49470423263812,1,4,4,1,1,1,2,1,2,6,14,3,58,2000-08-08
87,17.4,13,4.841487374764082,3,2,2,3,0,2,3,6,5,1,1,3,59,2000-08-15
104,20.8,10,3.7629775444453557,2,3,0,5,2,2,2,1,5,1,3,2,60,2000-08-22
115,23.0,21,7.5099933422074345,3,2,1,4,2,2,2,14,1,5,1,3,61,2000-08-29
74,14.8,24,8.109253973085318,4,1,3,2,4,0,1,5,3,4,12,3,62,2000-09-05
64,12.8,25,10.186265262597475,2,3,3,2,2,1,2,2,1,16,6,2,63,2000-09-12
61,12.2,18,5.912698199637793,3,2,4,1,3,2,3,5,1,1,11,3,64,2000-09-19
67,13.4,15,5.748043145279966,3,2,3,2,2,2,3,1,1,7,6,3,65,2000-09-26
60,12.0,15,5.89915248150105,2,3,3,2,2,1,2,1,6,5,3,3,66,2000-10-03
58,11.6,23,8.452218643646177,2,3,4,1,1,1,2,1,3,6,13,3,67,2000-10-10
78,15.6,19,8.309031231136395,2,3,2,3,1,2,2,1,15,1,2,2,68,2000-10-17
73,14.6,25,10.05186549850325,3,2,3,2,2,1,2,1,3,14,7,3,69,2000-10-24
51,10.2,20,7.547184905645283,5,0,3,2,3,0,1,4,2,10,4,3,70,2000-10-31
98,19.6,19,6.2801273872430325,2,3,1,4,2,1,2,6,1,4,8,3,71,2000-11-07
100,20.0,22,9.20869154657707,0,5,2,3,0,0,1,2,14,4,2,4,72,2000-11-14
74,14.8,26,10.92520022699813,0,5,3,2,0,0,1,2,2,18,4,3,73,2000-11-21
76,15.2,24,9.173875952943773,0,5,2,3,0,0,1,2,10,6,6,3,74,2000-11-28
83,16.6,22,7.116178749862878,3,2,2,3,3,1,2,7,2,1,12,3,75,2000-12-05
69,13.8,17,5.635601121442148,3,2,3,2,3,0,1,5,2,3,7,3,76,2000-12-12
63,12.6,24,9.789790600416334,1,4,3,2,2,1,2,1,7,12,4,3,77,2000-12-19
76,15.2,18,6.734983296193095,2,3,2,3,2,1,2,7,8,1,2,3,78,2000-12-26
87,17.4,28,9.911609354691095,1,4,2,3,2,0,1,11,3,10,4,4,79,2001-01-09
70,14.0,15,5.403702434442518,2,3,3,2,2,0,1,3,3,5,4,3,80,2001-01-16
59,11.8,24,8.182909018191513,3,2,3,2,1,0,1,6,3,6,9,3,81,2001-01-23
72,14.4,29,12.026637102698325,4,1,3,2,2,0,1,2,8,16,3,4,82,2001-01-30
67,13.4,25,9.645724441429996,3,2,3,2,2,0,1,5,5,12,3,3,83,2001-02-06
106,21.2,30,11.668761716651858,4,1,2,3,2,2,3,14,14,1,1,4,84,2001-02-13
83,16.6,20,7.227724399837061,3,2,3,2,2,0,1,2,3,6,9,3,85,2001-02-20
67,13.4,22,7.939773296511683,1,4,3,2,2,0,1,6,5,7,4,3,86,2001-02-27
68,13.6,26,10.031948963187562,4,1,3,2,2,0,1,4,7,11,4,3,87,2001-03-06
106,21.2,26,9.325234581499814,2,3,1,4,1,1,2,15,7,1,3,4,88,2001-03-13
92,18.4,24,10.26839812239475,4,1,2,3,3,0,1,2,17,3,2,2,89,2001-03-20
80,16.0,21,7.293833011524188,2,3,3,2,0,0,1,6,2,7,6,3,90,2001-03-27
72,14.4,14,5.314132102234569,2,3,3,2,0,1,2,1,6,3,4,3,91,2001-04-03
68,13.6,28,10.892199043352083,2,3,3,2,3,1,2,1,8,11,8,4,92,2001-04-10
101,20.2,16,6.241794613730894,3,2,2,3,1,1,2,4,7,4,1,2,93,2001-04-17
110,22.0,13,4.774934554525329,2,3,0,5,2,1,2,3,1,6,3,2,94,2001-04-24
55,11.0,27,10.099504938362077,3,2,4,1,3,2,2,1,2,1,23,2,95,2001-05-01
53,10.6,26,9.221713506718803,3,2,4,1,1,1,2,4,1,8,13,3,96,2001-05-08
74,14.8,16,5.5641710972974225,2,3,3,2,1,0,1,6,3,4,3,3,97,2001-05-15
43,8.6,19,6.887670143089026,3,2,4,1,2,1,2,1,7,2,9,3,98,2001-05-22
48,9.6,12,4.2708313008125245,4,1,5,0,3,0,1,4,3,3,2,2,99,2001-05-29
93,18.6,20,7.172168430816443,3,2,2,3,3,2,2,1,7,1,11,3,100,2001-06-05
62,12.4,24,7.761443164772902,2,3,4,1,3,1,2,8,1,2,13,3,101,2001-06-12
79,15.8,23,9.019977827023745,3,2,3,2,2,1,2,5,1,14,3,3,102,2001-06-19
93,18.6,20,6.945502141674135,3,2,2,3,2,0,1,3,6,2,9,3,103,2001-06-26
65,13.0,27,10.677078252031311,3,2,3,2,2,1,2,1,3,14,9,3,104,2001-07-03
79,15.8,21,7.413501197140255,3,2,3,2,1,0,1,5,3,7,6,3,105,2001-07-10
49,9.8,15,5.344155686354955,3,2,4,1,3,1,2,2,6,1,6,2,106,2001-07-17
77,15.4,23,9.414881836751857,1,4,3,2,0,1,2,4,4,14,1,3,107,2001-07-24
92,18.4,23,9.090654541890808,2,3,2,3,1,0,1,4,10,7,2,3,108,2001-07-31
