combo_id,n1,n2,n3,n4,n5,sum,odd_count,low_count,official_score,model_components,tie_break_key,rank,relative_score
16238,1,7,16,18,24,66,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),0,1,1.0
64345,3,10,11,13,24,61,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),1,2,1.0
32210,2,4,10,20,21,57,1,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),2,3,1.0
28719,2,3,8,11,31,55,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),3,4,1.0
133895,8,15,16,17,31,87,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),4,5,1.0
8402,1,4,10,15,29,59,3,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),5,6,1.0
143946,10,11,14,18,19,72,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),6,7,1.0
114786,6,15,20,27,28,96,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),7,8,1.0
108018,6,9,10,16,19,60,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),8,9,1.0
74913,4,6,9,19,20,58,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),9,10,1.0
97986,5,10,21,22,28,86,2,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),10,11,1.0
117246,7,8,11,13,19,58,4,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),11,12,1.0
155831,12,14,23,25,31,105,3,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),12,13,1.0
107585,6,8,18,21,22,75,1,2,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),13,14,1.0
119370,7,9,14,22,26,78,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),14,15,1.0
75230,4,6,11,13,24,58,2,4,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),15,16,1.0
110889,6,11,12,19,20,68,2,3,5.885434139049267e-06,NONE_VALIDATED (uniform/random baseline per pre-registered adoption rule),16,17,1.0
