number,p_appear_given_prev_appear,n_prev_appear,p_appear_given_prev_absent,n_prev_absent,diff,fisher_p_raw,fisher_p_fdr,sig_fdr
1,0.1715686274509804,204,0.14011676396997497,1199,0.031451863481005427,0.23728813656733289,0.6162443016204525,False
2,0.13025210084033614,238,0.17854077253218884,1165,-0.04828867169185269,0.07272017717037257,0.45086509845630995,False
3,0.17796610169491525,236,0.1662382176520994,1167,0.011727884042815856,0.6347534108868688,0.8396968783530216,False
4,0.1894273127753304,227,0.15731292517006804,1176,0.03211438760526236,0.23854618127243324,0.6162443016204525,False
5,0.16591928251121077,223,0.1576271186440678,1180,0.00829216386714296,0.7646588062709867,0.9117085767077149,False
6,0.15306122448979592,196,0.1375310687655344,1207,0.01553015572426153,0.5785722071361958,0.8152608373282759,False
7,0.12962962962962962,216,0.15838247683235046,1187,-0.028752847202720838,0.3066220218038874,0.6795668188220612,False
8,0.1782178217821782,202,0.13821815154038303,1201,0.03999967024179518,0.15834140616400344,0.6162443016204525,False
9,0.14423076923076922,208,0.1497907949790795,1195,-0.005560025748310271,0.9160727102600956,0.9792501385538954,False
10,0.16379310344827586,232,0.16567036720751493,1171,-0.0018772637592390784,1.0,1.0,False
11,0.20676691729323307,266,0.18557607739665788,1137,0.021190839896575192,0.4346787515845865,0.7926494881836579,False
12,0.15121951219512195,205,0.14524207011686144,1198,0.005977442078260509,0.8306493317891046,0.9412354389494422,False
13,0.12903225806451613,217,0.15935919055649242,1186,-0.030326932491976294,0.30690114398415663,0.6795668188220612,False
14,0.21862348178137653,247,0.16695501730103807,1156,0.05166846448033846,0.06522442611012823,0.45086509845630995,False
15,0.1218274111675127,197,0.14344941956882257,1206,-0.021622008401309872,0.5066392924952898,0.8124725535372179,False
16,0.21030042918454936,233,0.15726495726495726,1170,0.0530354719195921,0.053633717993625415,0.45086509845630995,False
17,0.19457013574660634,221,0.14974619289340102,1182,0.04482394285320532,0.10633526978799285,0.5493988939046297,False
18,0.14349775784753363,223,0.16186440677966102,1180,-0.01836664893212739,0.5494484905455406,0.8124725535372179,False
19,0.14285714285714285,245,0.18134715025906736,1158,-0.038490007401924514,0.16494001819868748,0.6162443016204525,False
20,0.13617021276595745,235,0.17294520547945205,1168,-0.0367749927134946,0.1801906044899712,0.6162443016204525,False
21,0.23553719008264462,242,0.15934539190353145,1161,0.07619179817911317,0.0064764549852098265,0.20077010454150462,False
22,0.14166666666666666,240,0.177128116938951,1163,-0.03546145027228434,0.22063734352277012,0.6162443016204525,False
23,0.1574468085106383,235,0.1695205479452055,1168,-0.012073739434567188,0.7023465627923953,0.8709097378625702,False
24,0.17410714285714285,224,0.15691263782866835,1179,0.0171945050284745,0.5503846330413411,0.8124725535372179,False
25,0.17647058823529413,221,0.15313028764805414,1182,0.023340300587239987,0.3663287425296383,0.7570794012279192,False
26,0.12807881773399016,203,0.1475,1200,-0.019421182266009834,0.5183716415547279,0.8124725535372179,False
27,0.17012448132780084,241,0.1721170395869191,1162,-0.00199255825911826,1.0,1.0,False
28,0.13901345291479822,223,0.16271186440677965,1180,-0.02369841149198143,0.42462678493290357,0.7926494881836579,False
29,0.20444444444444446,225,0.15195246179966043,1178,0.052491982644784024,0.059110558883387204,0.45086509845630995,False
30,0.17573221757322174,239,0.16924398625429554,1164,0.006488231318926202,0.8501481384059477,0.9412354389494422,False
31,0.16733067729083664,251,0.18229166666666666,1152,-0.014960989375830014,0.6500879058216942,0.8396968783530216,False
