fold_start,best_roll_window,best_ewma_halflife
300,200,100
325,200,100
350,200,100
375,200,100
400,200,100
425,100,100
450,200,100
475,200,100
500,200,100
525,200,100
550,200,100
575,200,100
600,200,100
625,200,100
650,200,100
675,200,100
700,200,100
725,200,100
750,200,100
775,200,100
800,200,100
825,200,100
850,200,100
875,200,100
900,200,100
925,200,100
950,200,100
975,200,100
1000,200,100
1025,200,100
1050,200,100
1075,200,100
1100,200,100
1125,200,100
1150,200,100
1175,200,100
1200,200,100
1225,200,100
1250,200,100
1275,200,100
1300,200,100
1325,200,100
1350,200,100
1375,200,100
1400,200,100
